reference,statut,licence,credit,raison,artistes,musee,ville,titre,presence_image,artiste_sous_droits,image,notice_pop,http,verifie_le
05940000296,unknown,,"© Castres ; musée Goya, photographe : Pascal Bru",crédit sans licence explicite,Ribera,musée Goya,Castres,Martyre de Saint André,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/05940000296/0001848.jpg,https://pop.culture.gouv.fr/notice/joconde/05940000296,200,2026-07-29
05940000300,unknown,,"© Castres ; musée Goya, photographe : Pascal Bru",crédit sans licence explicite,Ribera,musée Goya,Castres,Jésus parmi les docteurs,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/05940000300/0001835.jpg,https://pop.culture.gouv.fr/notice/joconde/05940000300,200,2026-07-29
06070000079,unavailable,,,aucune image sur POP,Philippe de Champaigne,musée Ingres Bourdelle,Montauban,Portrait d'un ecclésiastique,non,,,https://pop.culture.gouv.fr/notice/joconde/06070000079,,
06070000081,unknown,,Roumagnac Guy,crédit sans licence explicite,Corneille de Lyon,musée Ingres Bourdelle,Montauban,Portrait d'homme,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/06070000081/0000102.jpg,https://pop.culture.gouv.fr/notice/joconde/06070000081,200,2026-07-29
06070000098,unknown,,© Roumagnac Guy,crédit sans licence explicite,Gaspard Dughet,musée Ingres Bourdelle,Montauban,Paysage au soleil couchant,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/06070000098/0000095.jpg,https://pop.culture.gouv.fr/notice/joconde/06070000098,200,2026-07-29
06070000099,unknown,,© Roumagnac Guy,crédit sans licence explicite,Gaspard Dughet,musée Ingres Bourdelle,Montauban,Paysage,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/06070000099/0000097.jpg,https://pop.culture.gouv.fr/notice/joconde/06070000099,200,2026-07-29
06070000100,unknown,,© Roumagnac Guy,crédit sans licence explicite,Gaspard Dughet,musée Ingres Bourdelle,Montauban,Vue d'un couvent dans un site montagneux et boisé,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/06070000100/0000098.jpg,https://pop.culture.gouv.fr/notice/joconde/06070000100,200,2026-07-29
06070000105,unavailable,,,aucune image sur POP,Van Dyck,musée Ingres Bourdelle,Montauban,Portrait d'homme,non,,,https://pop.culture.gouv.fr/notice/joconde/06070000105,,
06070000115,unknown,,© Roumagnac Guy,crédit sans licence explicite,Fragonard,musée Ingres Bourdelle,Montauban,Sainte Famille,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/06070000115/0000023.jpg,https://pop.culture.gouv.fr/notice/joconde/06070000115,200,2026-07-29
06070000146,unknown,,© Roumagnac Guy,crédit sans licence explicite,Charles Le Brun,musée Ingres Bourdelle,Montauban,Allégorie à la gloire de Louis XIV,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/06070000146/0000121.jpg,https://pop.culture.gouv.fr/notice/joconde/06070000146,200,2026-07-29
06070000166,unknown,,© Roumagnac Guy,crédit sans licence explicite,Pierre Mignard,musée Ingres Bourdelle,Montauban,Portrait de Louis XIV,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/06070000166/0000299.jpg,https://pop.culture.gouv.fr/notice/joconde/06070000166,200,2026-07-29
06070000167,unknown,,© Roumagnac Guy,crédit sans licence explicite,Pierre Mignard,musée Ingres Bourdelle,Montauban,Portrait de femme,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/06070000167/0000017.jpg,https://pop.culture.gouv.fr/notice/joconde/06070000167,200,2026-07-29
06070000168,unknown,,© Roumagnac Guy,crédit sans licence explicite,Pierre Mignard,musée Ingres Bourdelle,Montauban,Portrait d'homme,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/06070000168/0000150.jpg,https://pop.culture.gouv.fr/notice/joconde/06070000168,200,2026-07-29
06070000172,unknown,,© Roumagnac Guy,crédit sans licence explicite,Pier Francesco Mola,musée Ingres Bourdelle,Montauban,Paysage avec chartreux,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/06070000172/0000167.jpg,https://pop.culture.gouv.fr/notice/joconde/06070000172,200,2026-07-29
06070000233,unknown,,© Roumagnac Guy,crédit sans licence explicite,Ribera,musée Ingres Bourdelle,Montauban,Saint Jérôme lisant,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/06070000233/0000123.jpg,https://pop.culture.gouv.fr/notice/joconde/06070000233,200,2026-07-29
06070000244,unknown,,© Roumagnac Guy,crédit sans licence explicite,Salvator Rosa,musée Ingres Bourdelle,Montauban,Glaucus et Scylla,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/06070000244/0000163.jpg,https://pop.culture.gouv.fr/notice/joconde/06070000244,200,2026-07-29
06070000245,unavailable,,,aucune image sur POP,Salvator Rosa,musée Ingres Bourdelle,Montauban,Intérieur d'un corps de garde romain,non,,,https://pop.culture.gouv.fr/notice/joconde/06070000245,,
06070000361,unknown,,© Roumagnac Guy,crédit sans licence explicite,Gaspard Dughet,musée Ingres Bourdelle,Montauban,Paysage avec un porteur d'eau,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/06070000361/0000165.jpg,https://pop.culture.gouv.fr/notice/joconde/06070000361,200,2026-07-29
06070001420,unknown,,© Roumagnac Guy,crédit sans licence explicite,Géricault,musée Ingres Bourdelle,Montauban,Académie d'homme,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/06070001420/0001206.jpg,https://pop.culture.gouv.fr/notice/joconde/06070001420,200,2026-07-29
06070001452,unknown,,© Roumagnac Guy,crédit sans licence explicite,Ingres,musée Ingres Bourdelle,Montauban,Vierge à l'Enfant,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/06070001452/0000590.jpg,https://pop.culture.gouv.fr/notice/joconde/06070001452,200,2026-07-29
06070001453,unknown,,© Roumagnac Guy,crédit sans licence explicite,Ingres,musée Ingres Bourdelle,Montauban,Têtes d'une mère et de deux enfants,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/06070001453/0000915.jpg,https://pop.culture.gouv.fr/notice/joconde/06070001453,200,2026-07-29
06070001454,unknown,,© Roumagnac Guy,crédit sans licence explicite,Ingres,musée Ingres Bourdelle,Montauban,Portrait de Bindo Altoviti,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/06070001454/0000934.jpg,https://pop.culture.gouv.fr/notice/joconde/06070001454,200,2026-07-29
06070001455,unknown,,© Roumagnac Guy,crédit sans licence explicite,Ingres,musée Ingres Bourdelle,Montauban,Portrait de Raphaël,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/06070001455/0000976.jpg,https://pop.culture.gouv.fr/notice/joconde/06070001455,200,2026-07-29
06070001457,unknown,,© Roumagnac Guy,crédit sans licence explicite,Ingres,musée Ingres Bourdelle,Montauban,Investiture d'un préfet de Rome dans la chapelle Sixtine,oui,,https://popcorn-prd-perf-assets.s3.gra.io.cloud.ovh.net/joconde/06070001457/0001172.jpg,https://pop.culture.gouv.fr/notice/joconde/06070001457,200,2026-07-29
