famille,categorie,champ_source,extrait,auteur,precisions_auteur,ancienne_attribution,titre,denomination,domaine,musee,ville,verdict,commentaire,reference,lien_pop
? (point d'interrogation),doute,Auteur,GIRE Jules (?),GIRE Jules (?),"Le Puy-en-Velay, 1850 ; Le Puy-en-Velay, 1932 ; Yssingeaux, 1872 ; ?,1933",,RUE SAINT-GEORGES AU PUY,,dessin,musée Crozatier,Le Puy-en-Velay,vrai,,000DE023403,https://pop.culture.gouv.fr/notice/joconde/000DE023403
? (point d'interrogation),doute,Auteur,DUTHOIT Aimé (?);DUTHOIT Louis (?),DUTHOIT Aimé (?);DUTHOIT Louis (?),"DUTHOIT Aimé : Amiens, 1803/11/24 ; Amiens, 1869/02/20 ;#DUTHOIT Louis : Amiens, 1807/04/15 ; Amiens, 1874/12/30 ; Les deux attributions sont plausibles",,"Amiens : élévation et plan des logettes, établies le long du flanc méridional de l'église Saint-Germain-l'Ecossais, (1854) ; Amiens : plan des logettes situées entre les contreforts de l'église Saint-Germain (1854)",,dessin;cartes - plans,musée de Picardie,Amiens,vrai,,08120003825,https://pop.culture.gouv.fr/notice/joconde/08120003825
? (point d'interrogation),doute,Auteur,DUBOIS Guillam (?);DU BOIS Cornelis (?),DUBOIS Guillam (?);DU BOIS Cornelis (?),"Dubois : ?, 1610 ; Haarlem, 1680 ; Du Bois : actif au 17e siècle ; signature peu lisible",MOLENAER KLAES (ancienne attribution),PAYSAGE,tableau,peinture,musée des beaux-arts,Bordeaux,vrai,,000PE020161,https://pop.culture.gouv.fr/notice/joconde/000PE020161
? (point d'interrogation),doute,Auteur,… (dessinateur);BONINGTON Richard Parkes (d'après ?),ROBERTS père James (dessinateur);BONINGTON Richard Parkes (d'après ?),,Ancienne attribution : David ROBERTS,Navire dans le port de Caen,,dessin,musée des beaux-arts,Caen,vrai,,06570016831,https://pop.culture.gouv.fr/notice/joconde/06570016831
? (point d'interrogation),doute,Auteur,David d’Angers (?),David d’Angers (?),,,,médaille,phaléristique,musée de la Princerie,Verdun,vrai,,M0525007605,https://pop.culture.gouv.fr/notice/joconde/M0525007605
? (point d'interrogation),doute,Auteur,DAMOISELET Florentin;HUILLIOT Claude (?),DAMOISELET Florentin;HUILLIOT Claude (?),"Damoiselet : Paris, 1644 ; ? ; Huilliot : Reims, vers 1632 ; Paris, 1702",Loir Nicolas (ancienne attribution),L'Hymen tenant un flambeau,tableau,peinture,musée national du château de Fontainebleau,Fontainebleau,vrai,,5013M000143,https://pop.culture.gouv.fr/notice/joconde/5013M000143
? (point d'interrogation),doute,Auteur,LAGNEAU (? ),LAGNEAU (? ),,,Philippe Desportes,,dessin,musée Condé,Chantilly,vrai,,50520001025,https://pop.culture.gouv.fr/notice/joconde/50520001025
? (point d'interrogation),doute,Auteur,DUTHOIT Aimé (?);DUTHOIT Louis (?),DUTHOIT Aimé (?);DUTHOIT Louis (?),"DUTHOIT Aimé : Amiens, 1803/11/24 ; Amiens, 1869/02/20 ;#DUTHOIT Louis : Amiens, 1807/04/15 ; Amiens, 1874/12/30 ; Les deux attributions sont plausibles",,Amiens : la rue des Soeurs-Grises ; Amiens : rue des soeurs Grises,,dessin,musée de Picardie,Amiens,vrai,,08120003858,https://pop.culture.gouv.fr/notice/joconde/08120003858
? (point d'interrogation),doute,Auteur,Der Balian Sarkis (?-1996),Der Balian Sarkis (?-1996),"Arménie, ? ; Paris, 1996/03/29 ; Arménien d'origine, Sarkis Der Balian, né au début du XXe siècle à Aïtab Cilicie de la petite Arménie, manifeste très tôt son intérêt pour la chaussure. Orphelin à l'âge de sept ans, il est accueilli par un bottier de sa région, sans enfant, qui voit en lui le fils tellement espéré. Petit à petit il le forme au métier tout en lui permettant d'aller à l'école. Il arrive en France le 7 mars 1929 pour exercer son art dans différents ateliers de bottiers parisiens. Vers 1934, il est engagé chez Enzel, bottier rue Saint Honoré, où il dirige une équipe de quarante ouvriers. Le célèbre Charles Ritz administre la maison et admire son travail. Pendant cette période il chausse Marie Curie, l'aviatrice Hélène Boucher, Mistinguett ... Ce sont pour lui de belles années de créations au sein de l'entreprise, complétées par une activité indépendante de modéliste qui lui permet de s'affirmer de manière plus personnelle. Il crée alors des modèles pour Max Bally, les usines Unic-Fenestrier à Romans, celles de Fougères et pour la maison Besson, petite fabrique parisienne de chaussures pour femme. Il assure aussi la mise au point technique de certains modèles réalisés pour les grands couturiers. En 1935, il fait le tour de l'Italie dont il retient la leçon du beau poussé jusqu'à la perfection. Les évènements de 1936 entraînent la fermeture de la maison Enzel. Son parcours le conduit alors à l'angle de la rue Rivoli et de la rue du Renard chez ' Cécile ', maison spécialisée dans la chaussure d'homme, de femme et d'enfant. Il y occupe la fonction de Directeur Technique. Il décline l'invitation de Delman qui lui propose, en 1939, de fabriquer des chaussures aux Etats-Unis. Cet homme attaché à sa patrie d'adoption, la France, s'installe rue de la Sourdière à Paris de 1943 à 1945. Le succès le pousse à déménager en 1947 dans un plus vaste magasin au 221 rue Saint Honoré. Il chausse au cours de sa longue carrière des personnalités aussi diverses que les peintres Salvator Dali, ou Dunoyer de Segonzac, le sculpteur Paul Belmondo, les acteurs Claude Dauphin, Gaby Morlet, Greta Garbo, Laurent Terzieff, le boxeur Georges Carpentier, des artistes comme Henri Salvador, Yehudi Menhin, les écrivains Jean Anouilh, Aragon et Elsa Triolet, l'aviateur Jean Mermoz... Universellement connu, depuis 1930 il reçoit de nombreux prix et les plus hautes récompenses dans toutes les expositions nationales et internationales. Meilleur ouvrier de France en 1958, son mandat de conseiller technique de l'enseignement technique lui est renouvelé cinq fois par le Ministère de l'Education Nationale. Aidé par son épouse et sa fille Astrid, il maintient son activité jusqu'en 1995 et s'éteint le 29 mars 1996. Cependant ce virtuose de la botterie, épris d'absolu, nous interpelle encore, par la contemplation de son uvre conservée et visible, au Musée International de la Chaussure à Romans",,,ébauche,costume - accessoires du costume,musée de la chaussure,Romans,faux,"Le ? porte sur une date de naissance, pas sur l’auteur.",09860003471,https://pop.culture.gouv.fr/notice/joconde/09860003471
? (point d'interrogation),doute,Auteur,…nd-Auguste (1795-1881) (graveur);Pensée (?),Caqué Armand-Auguste (1795-1881) (graveur);Pensée (?),,,"Jeanne D'Arc (avers) ; Congrès Musical, Orléans  (revers)",médaille,numismatique,musée de l'hôtel Sandelin,Saint-Omer,vrai,,M0650023567,https://pop.culture.gouv.fr/notice/joconde/M0650023567
