rang,musee,ville,code_museofile,notices,sans_licence,soumises_a_autorisation,photographes_credites,artistes_principaux,exemple_notice_pop
54,musée Fragonard,Grasse,M0876,3,3,0,"© Carlo Barbiero, photographe, coll. musée Fragonard, Grasse - France | © Coll. musée Fragonard, Grasse - France | © Jacques Penon, photographe, coll. musée Fragonard, Grasse France",Fragonard,https://pop.culture.gouv.fr/notice/joconde/08760010792
55,château musées,Blois,M0271,3,3,0,"© Château de Blois / F. Lauginie, 2008","Pierre Mignard, Rubens, Philippe de Champaigne",https://pop.culture.gouv.fr/notice/joconde/M0271000077
56,musée Sarret de Grozon,Arbois,M0341,3,3,0,"© musée Sarret de Grozon, Arbois ; © Henri Bertand","Andrea del Sarto, Nicolas Poussin, Luca Giordano",https://pop.culture.gouv.fr/notice/joconde/M0341000307
57,musée Grobet-Labadié,Marseille,M0917,2,2,0,(crédit vide),"Nicolas de Largillière, Hyacinthe Rigaud",https://pop.culture.gouv.fr/notice/joconde/000PE016248
58,musée de la faïence Frédéric Blandin,Nevers,M0155,2,2,0,© Michenet | © Marc Cherasse,"Pier Francesco Mola, Boucher",https://pop.culture.gouv.fr/notice/joconde/01550000959
59,musée Bertrand,Châteauroux,M0247,2,2,0,"© Vincent Escudero, Musée Bertrand","Rubens, François Gérard",https://pop.culture.gouv.fr/notice/joconde/02470000028
60,musée municipal,Châlons-en-Champagne,M0307,2,2,0,© Maillot Hervé,"Simon Vouet, David Téniers",https://pop.culture.gouv.fr/notice/joconde/03070000188
61,musée municipal,Vendôme,M0277,2,2,0,© Anaïs Bonin | © Susana Pereira Tavares,"Rembrandt, Le Corrège",https://pop.culture.gouv.fr/notice/joconde/M0277002250
62,château musée de Nemours,Nemours,M0381,2,2,0,© château musée de Nemours | © François Lauginie,"Gaspard Dughet, Ribera",https://pop.culture.gouv.fr/notice/joconde/M0381001606
63,musée barrois,Bar-le-Duc,M0517,2,2,0,"musée barrois, Bar-le-Duc","Hyacinthe Rigaud, François Gérard",https://pop.culture.gouv.fr/notice/joconde/M0517000065
64,musée de la Princerie,Verdun,M0525,2,2,0,© Jean-Marie Perraux,Nicolas de Largillière,https://pop.culture.gouv.fr/notice/joconde/M0525000544
65,bibliothèque-musée Inguimbertine,Carpentras,M0949,2,2,0,Bruno Preschesmisky,"Hyacinthe Rigaud, Joseph Vernet",https://pop.culture.gouv.fr/notice/joconde/M0949000353
66,musée municipal des beaux-arts,Agen,M0087,1,1,0,"Hugo Maertens, Bruges",Philippe de Champaigne,https://pop.culture.gouv.fr/notice/joconde/000PE000384
67,musée des beaux-arts,Marseille,M0913,1,1,0,Claude Almodovar ; Michel Vialle,Hyacinthe Rigaud,https://pop.culture.gouv.fr/notice/joconde/000PE014522
68,musée municipal,Louhans-Châteaurenaud,M0171,1,1,0,© Ecomusée de la Bresse bourguignonne,Greuze,https://pop.culture.gouv.fr/notice/joconde/01710114791
69,musée du château Charles VII,Mehun-sur-Yèvre,M0234,1,1,0,© Susana Pereira Tavares ; musée Charles VII,Antonio Tempesta,https://pop.culture.gouv.fr/notice/joconde/02340000148
70,musée des beaux-arts,Tours,M0265,1,1,0,© musée des beaux-arts de Tours,Joseph Vernet,https://pop.culture.gouv.fr/notice/joconde/02650001146
71,musée du domaine départemental de Sceaux,Sceaux,M0417,1,1,0,(crédit vide),Rodin,https://pop.culture.gouv.fr/notice/joconde/04170004811
72,musée des beaux-arts,Dunkerque,M0621,1,1,0,© Jacques QUECQ D'HENRIPRÊT. (Photographe) ; © Rodolphe VANDEZANDE,Van Dyck,https://pop.culture.gouv.fr/notice/joconde/06210000190
73,musée des Beaux-Arts,Valenciennes,M0638,1,1,0,© Claude Thériez,Paul Bril,https://pop.culture.gouv.fr/notice/joconde/06380000486
74,musée d'Art et d'Histoire,Lisieux,M0665,1,1,0,© agence Vallini,David Téniers,https://pop.culture.gouv.fr/notice/joconde/06650001640
75,musée Municipal,Bernay,M0701,1,1,0,"©, musée des beaux-arts, Ville de Bernay",David Téniers,https://pop.culture.gouv.fr/notice/joconde/07010001983
76,"musée d'art, histoire et archéologie d'Évreux",Évreux,M0703,1,1,0,"© Musée d'art, histoire et archéologie, Evreux",Hyacinthe Rigaud,https://pop.culture.gouv.fr/notice/joconde/07030017687
77,Château-musée,Dieppe,M0712,1,1,0,(crédit vide),Claude Lorrain,https://pop.culture.gouv.fr/notice/joconde/07120002024
78,"Les Pêcheries, musée de Fécamp",Fécamp,M0715,1,1,0,(crédit vide),Nicolas de Largillière,https://pop.culture.gouv.fr/notice/joconde/07150000274
79,musée de Tessé,Le Mans,M0770,1,1,0,(crédit vide),Ribera,https://pop.culture.gouv.fr/notice/joconde/07700010824
80,musée du palais Lascaris,Nice,M0887,1,1,0,"© Ville de Nice, Palais Lascaris, Umberto Leone",Pierre Mignard,https://pop.culture.gouv.fr/notice/joconde/08870000079
81,musée de Brou,Bourg-en-Bresse,M0963,1,1,0,© Alain Basset,Jacques-Louis David,https://pop.culture.gouv.fr/notice/joconde/09630004568
82,musée d'Allard,Montbrison,M1016,1,1,0,"(c) Montbrison, musée d’Allard",Hyacinthe Rigaud,https://pop.culture.gouv.fr/notice/joconde/10160000824
83,musée des beaux-arts,Lyon,M1031,1,1,0,© Image © Lyon MBA – Photo Louis Houdus,Gaspard Dughet,https://pop.culture.gouv.fr/notice/joconde/10310026673
84,musée Léon Dierx,Saint-Denis de La Réunion,M1069,1,1,0,© Jean-Pierre Woaye-Hune,Van Dyck,https://pop.culture.gouv.fr/notice/joconde/10690003855
85,musée national Magnin,Dijon,M5011,1,1,0,(crédit vide),Greuze,https://pop.culture.gouv.fr/notice/joconde/50110000416
86,musée de l'Ecole nationale supérieure des beaux-arts,Paris,M5051,1,1,0,© service photographique de l'école nationale supérieure des beaux-arts,Claude Lorrain,https://pop.culture.gouv.fr/notice/joconde/50510010862
87,musée du Pays de Hanau - histoire et vies d’un territoire,Bouxwiller,M0003,1,1,0,© MERTZ André,Pierre Mignard,https://pop.culture.gouv.fr/notice/joconde/M0003020239
88,musée du Château des Rohan,Saverne,M0012,1,1,0,© cliché inventaire général (Commission régionale d’Inventaire Grand Est),Pierre Mignard,https://pop.culture.gouv.fr/notice/joconde/M0012000004
89,musée des beaux-arts et d'archéologie,Libourne,M0072,1,1,0,© Libourne ; musée des beaux-arts et d'archéologie,Simon Vouet,https://pop.culture.gouv.fr/notice/joconde/M0072003317
90,musée du temps,Besançon,M0333,1,1,0,"© Besançon, musée du Temps, Pierre Guenat",Titien,https://pop.culture.gouv.fr/notice/joconde/M0333000715
91,musée des Beaux-Arts,Lons-le-Saunier,M0345,1,1,0,musée des beaux arts de Lons le Saunier,Simon Vouet,https://pop.culture.gouv.fr/notice/joconde/M0345000311
92,Viséum-musée de la lunette (collections du musée de la lunette et du musée Jourdain),Hauts de Bienne,M0350,1,1,0,© musée de la Lunette,Gaspard Dughet,https://pop.culture.gouv.fr/notice/joconde/M0350002026
93,musée de la Grande Saline,Salins-les-Bains,M0353,1,1,0,"© Musée de la Grande Saline, Salins-les-Bains ; Justine Sève",Jacques-Louis David,https://pop.culture.gouv.fr/notice/joconde/M0352002998
94,maison des templiers,Caudebec-en-Caux,M0710,1,1,0,© E. Marelle,Frans Hogenberg,https://pop.culture.gouv.fr/notice/joconde/M0710000210
95,musée municipal,Soissons,M0794,1,1,0,© musée municipal de Soissons,Joseph Vernet,https://pop.culture.gouv.fr/notice/joconde/M0794012647
96,musée d'art et d'archéologie,Senlis,M0809,1,1,0,© Musées de Senlis,François Gérard,https://pop.culture.gouv.fr/notice/joconde/M0809006860
97,musée de la vénerie,Senlis,M0810,1,1,0,© Musées de Senlis,Jean-Baptiste Oudry,https://pop.culture.gouv.fr/notice/joconde/M0810004977
